Estación,Variable,Mes,Valor
POSADAS AERO,Frecuencia de días con Precipitación superior a 0.1 mm,Ene,10.3
POSADAS AERO,Frecuencia de días con Precipitación superior a 0.1 mm,Feb,9.6
POSADAS AERO,Frecuencia de días con Precipitación superior a 0.1 mm,Mar,9
POSADAS AERO,Frecuencia de días con Precipitación superior a 0.1 mm,Abr,10.2
POSADAS AERO,Frecuencia de días con Precipitación superior a 0.1 mm,May,8.3
POSADAS AERO,Frecuencia de días con Precipitación superior a 0.1 mm,Jun,9.4
POSADAS AERO,Frecuencia de días con Precipitación superior a 0.1 mm,Jul,9
POSADAS AERO,Frecuencia de días con Precipitación superior a 0.1 mm,Ago,8.3
POSADAS AERO,Frecuencia de días con Precipitación superior a 0.1 mm,Sep,10.9
POSADAS AERO,Frecuencia de días con Precipitación superior a 0.1 mm,Oct,11.3
POSADAS AERO,Frecuencia de días con Precipitación superior a 0.1 mm,Nov,9.5
POSADAS AERO,Frecuencia de días con Precipitación superior a 0.1 mm,Dic,9.4
POSADAS AERO,Humedad relativa (%),Ene,68.5
POSADAS AERO,Humedad relativa (%),Feb,72.1
POSADAS AERO,Humedad relativa (%),Mar,73
POSADAS AERO,Humedad relativa (%),Abr,76.4
POSADAS AERO,Humedad relativa (%),May,77.4
POSADAS AERO,Humedad relativa (%),Jun,78.8
POSADAS AERO,Humedad relativa (%),Jul,74.7
POSADAS AERO,Humedad relativa (%),Ago,70.3
POSADAS AERO,Humedad relativa (%),Sep,69.8
POSADAS AERO,Humedad relativa (%),Oct,69.8
POSADAS AERO,Humedad relativa (%),Nov,66.9
POSADAS AERO,Humedad relativa (%),Dic,65.8
POSADAS AERO,Nubosidad total (octavos),Ene,3.6
POSADAS AERO,Nubosidad total (octavos),Feb,3.6
POSADAS AERO,Nubosidad total (octavos),Mar,3.3
POSADAS AERO,Nubosidad total (octavos),Abr,3.7
POSADAS AERO,Nubosidad total (octavos),May,3.6
POSADAS AERO,Nubosidad total (octavos),Jun,4.1
POSADAS AERO,Nubosidad total (octavos),Jul,3.6
POSADAS AERO,Nubosidad total (octavos),Ago,3.6
POSADAS AERO,Nubosidad total (octavos),Sep,3.8
POSADAS AERO,Nubosidad total (octavos),Oct,3.7
POSADAS AERO,Nubosidad total (octavos),Nov,3.4
POSADAS AERO,Nubosidad total (octavos),Dic,3.4
POSADAS AERO,Precipitación (mm),Ene,167.2
POSADAS AERO,Precipitación (mm),Feb,154.9
POSADAS AERO,Precipitación (mm),Mar,144.1
POSADAS AERO,Precipitación (mm),Abr,193.8
POSADAS AERO,Precipitación (mm),May,138.2
POSADAS AERO,Precipitación (mm),Jun,139.8
POSADAS AERO,Precipitación (mm),Jul,103.3
POSADAS AERO,Precipitación (mm),Ago,93.9
POSADAS AERO,Precipitación (mm),Sep,145.1
POSADAS AERO,Precipitación (mm),Oct,226
POSADAS AERO,Precipitación (mm),Nov,181
POSADAS AERO,Precipitación (mm),Dic,179.9
POSADAS AERO,Temperatura (°C),Ene,27
POSADAS AERO,Temperatura (°C),Feb,26.2
POSADAS AERO,Temperatura (°C),Mar,25.1
POSADAS AERO,Temperatura (°C),Abr,21.9
POSADAS AERO,Temperatura (°C),May,18.3
POSADAS AERO,Temperatura (°C),Jun,16.5
POSADAS AERO,Temperatura (°C),Jul,16.1
POSADAS AERO,Temperatura (°C),Ago,17.9
POSADAS AERO,Temperatura (°C),Sep,19.2
POSADAS AERO,Temperatura (°C),Oct,22.3
POSADAS AERO,Temperatura (°C),Nov,24.2
POSADAS AERO,Temperatura (°C),Dic,26.3
POSADAS AERO,Temperatura máxima (°C),Ene,33
POSADAS AERO,Temperatura máxima (°C),Feb,32.1
POSADAS AERO,Temperatura máxima (°C),Mar,31.2
POSADAS AERO,Temperatura máxima (°C),Abr,27.6
POSADAS AERO,Temperatura máxima (°C),May,23.9
POSADAS AERO,Temperatura máxima (°C),Jun,21.9
POSADAS AERO,Temperatura máxima (°C),Jul,21.9
POSADAS AERO,Temperatura máxima (°C),Ago,24.2
POSADAS AERO,Temperatura máxima (°C),Sep,25.1
POSADAS AERO,Temperatura máxima (°C),Oct,28.3
POSADAS AERO,Temperatura máxima (°C),Nov,30.3
POSADAS AERO,Temperatura máxima (°C),Dic,32.4
POSADAS AERO,Temperatura mínima (°C),Ene,21.8
POSADAS AERO,Temperatura mínima (°C),Feb,21.3
POSADAS AERO,Temperatura mínima (°C),Mar,20.2
POSADAS AERO,Temperatura mínima (°C),Abr,17.4
POSADAS AERO,Temperatura mínima (°C),May,14
POSADAS AERO,Temperatura mínima (°C),Jun,12.3
POSADAS AERO,Temperatura mínima (°C),Jul,11.6
POSADAS AERO,Temperatura mínima (°C),Ago,13.1
POSADAS AERO,Temperatura mínima (°C),Sep,14.3
POSADAS AERO,Temperatura mínima (°C),Oct,17.1
POSADAS AERO,Temperatura mínima (°C),Nov,18.6
POSADAS AERO,Temperatura mínima (°C),Dic,20.7
POSADAS AERO,Velocidad del Viento (km/h),Ene,9.1
POSADAS AERO,Velocidad del Viento (km/h),Feb,9.1
POSADAS AERO,Velocidad del Viento (km/h),Mar,8.6
POSADAS AERO,Velocidad del Viento (km/h),Abr,8.7
POSADAS AERO,Velocidad del Viento (km/h),May,9
POSADAS AERO,Velocidad del Viento (km/h),Jun,8.9
POSADAS AERO,Velocidad del Viento (km/h),Jul,10.1
POSADAS AERO,Velocidad del Viento (km/h),Ago,10.9
POSADAS AERO,Velocidad del Viento (km/h),Sep,11
POSADAS AERO,Velocidad del Viento (km/h),Oct,11
POSADAS AERO,Velocidad del Viento (km/h),Nov,10.4
POSADAS AERO,Velocidad del Viento (km/h),Dic,9.6
